Metric,Default Mean,Tuned Mean,Mean Improvement (%),Default Max,Tuned Max,Max Improvement (%)
Episode Reward Mean,2587.5349604132716,11593.201276506696,-348.0403725503702,2732.381103515625,11931.328125,-336.66412820848916
Policy Gradient Loss,-0.025268707664866625,-0.09468325963396515,274.7055879933736,-0.0043555800803005,-0.045293565839529,939.8974420051097
Approximate KL Divergence,0.018788023721560267,0.2983036999453287,-1487.7332515979804,0.1010772436857223,3.039747714996338,-2907.3512139367117
Entropy Loss,-4.43286255815784,-7.465982827006793,68.42351255098295,-0.0462203212082386,-2.778229236602783,5910.839310453719
Explained Variance,-126.51059818780813,-0.15555038339779026,99.87704557118062,0.5647073984146118,0.4201741814613342,-25.594355122501938
