trial,params,mean_reward,std_reward
21,"{'learning_rate': 0.00013530477745798074, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.5, 's_min': 5.0}",727.09344,0.35951698
22,"{'learning_rate': 0.00020565123083486514, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.3, 's_min': 8.0}",503.79745,2.515473
23,"{'learning_rate': 0.00047508101621027984, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",358.80954,0.97078484
24,"{'learning_rate': 0.0009111627561154896, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 10.0}",-4.4443297,4.593283
25,"{'learning_rate': 0.000756463327554629, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 10.0}",-553.96655,10.894558
26,"{'learning_rate': 2.782559402207126e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.3, 's_min': 10.0}",230.12679,1.5896902
27,"{'learning_rate': 0.0003944206059437656, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.3, 's_min': 10.0}",50.869377,25.86679
28,"{'learning_rate': 2.310129700083158e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",624.9223,0.12041662
29,"{'learning_rate': 2.782559402207126e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.7, 's_min': 5.0}",37.049892,0.037061196
30,"{'learning_rate': 0.00010235310218990269, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.3, 's_min': 10.0}",-4.661392,0.6103542
31,"{'learning_rate': 0.00010235310218990269, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.5, 's_min': 8.0}",497.80035,0.47253653
32,"{'learning_rate': 3.511191734215135e-05, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",391.67163,0.21246426
33,"{'learning_rate': 0.00041320124001153384, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",-147.90764,8.753441
34,"{'learning_rate': 0.0005994842503189409, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",26.686737,6.8440137
35,"{'learning_rate': 2.782559402207126e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",687.4925,0.054898463
36,"{'learning_rate': 0.0006579332246575682, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.5, 's_min': 10.0}",-26.538767,10.831635
37,"{'learning_rate': 0.0003430469286314919, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 5.0}",-30.501984,18.76561
38,"{'learning_rate': 0.00032745491628777317, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",-131.1671,23.6674
39,"{'learning_rate': 4.8626015800653536e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",409.19864,0.15668201
