Wall time,Step,Value
1745320028.3446991,3000,-27.54867172241211
1745320065.4797218,5000,-27.510040283203125
1745320102.5016983,7000,-27.469106674194336
1745320139.4710774,9000,-27.4222412109375
1745320176.4961588,11000,-27.368515014648438
1745320213.4936624,13000,-27.319408416748047
1745320250.331346,15000,-27.26220703125
1745320287.2476351,17000,-27.196582794189453
1745320324.244065,19000,-27.117979049682617
1745320360.6091158,21000,-27.043134689331055
1745320396.8307924,23000,-26.967552185058594
1745320433.431592,25000,-26.856447219848633
1745320470.2494824,27000,-26.770370483398438
1745320506.7212741,29000,-26.66387367248535
1745320543.3073838,31000,-26.510478973388672
1745320579.5979378,33000,-26.356218338012695
1745320615.8734205,35000,-26.21506118774414
1745320652.3852336,37000,-26.066925048828125
1745320688.6623552,39000,-25.9285945892334
1745320725.0407946,41000,-25.754192352294922
1745320776.4315152,44000,-25.57042121887207
1745320812.7044334,46000,-25.420394897460938
1745320849.446247,48000,-25.206703186035156
1745320886.0119894,50000,-24.988208770751953
1745320922.6467457,52000,-24.794511795043945
1745320959.4833844,54000,-24.564302444458008
1745320995.9279456,56000,-24.314674377441406
1745321032.3629417,58000,-24.08416175842285
1745321068.9835556,60000,-23.80980682373047
1745321105.578198,62000,-23.536195755004883
1745321142.2174847,64000,-23.292198181152344
1745321178.7629957,66000,-22.94991111755371
1745321215.0139794,68000,-22.68596076965332
1745321251.4437602,70000,-22.482332229614258
1745321287.5692108,72000,-22.179855346679688
1745321323.665104,74000,-21.8660888671875
1745321359.7975862,76000,-21.49896812438965
1745321396.0984802,78000,-21.176481246948242
1745321432.2212799,80000,-20.88495445251465
1745321468.3716824,82000,-20.553428649902344
1745321504.5113215,84000,-20.238121032714844
1745321556.0202365,87000,-19.868017196655273
1745321592.1558464,89000,-19.598583221435547
1745321628.4871874,91000,-19.203256607055664
1745321664.6916044,93000,-18.83578109741211
1745321700.8375769,95000,-18.40789794921875
1745321736.833472,97000,-18.143342971801758
1745321773.1198525,99000,-17.79414939880371
1745321809.2838857,101000,-17.539655685424805
1745321845.4680796,103000,-17.270187377929688
1745321881.7843683,105000,-17.022462844848633
1745321918.1903954,107000,-16.749282836914062
1745321954.1901484,109000,-16.560081481933594
1745321990.1423373,111000,-16.162185668945312
1745322026.1718147,113000,-15.875106811523438
1745322062.1516209,115000,-15.609729766845703
1745322098.4181986,117000,-15.320869445800781
1745322134.317606,119000,-15.033439636230469
1745322170.596523,121000,-14.800418853759766
1745322206.717018,123000,-14.494956970214844
1745322242.862449,125000,-14.380692481994629
1745322279.2973228,127000,-14.115509033203125
1745322330.6521819,130000,-13.891925811767578
1745322367.0789042,132000,-13.719441413879395
1745322403.189306,134000,-13.608349800109863
1745322439.5039961,136000,-13.427847862243652
1745322475.6739109,138000,-13.221641540527344
1745322511.8007076,140000,-13.065373420715332
1745322547.8757563,142000,-12.920489311218262
1745322583.7265055,144000,-12.870101928710938
1745322619.7055488,146000,-12.66685962677002
1745322655.6908448,148000,-12.609174728393555
1745322691.7829397,150000,-12.445178031921387
1745322727.57646,152000,-12.190619468688965
1745322763.5473657,154000,-12.140124320983887
1745322799.846231,156000,-11.993850708007812
1745322835.8319833,158000,-11.774292945861816
