Wall time,Step,Value
1745320028.345106,3000,-0.08476793766021729
1745320065.4801052,5000,-0.08872129768133163
1745320102.5021942,7000,-0.08911490440368652
1745320139.4713976,9000,-0.09495440125465393
1745320176.4966424,11000,-0.09270116686820984
1745320213.4940333,13000,-0.09109073877334595
1745320250.3316107,15000,-0.09011873602867126
1745320287.2479947,17000,-0.09670307487249374
1745320324.2443256,19000,-0.09428589791059494
1745320360.609381,21000,-0.09862462431192398
1745320396.831069,23000,-0.09532686322927475
1745320433.431882,25000,-0.09606019407510757
1745320470.2498171,27000,-0.09439405053853989
1745320506.7216187,29000,-0.09525799006223679
1745320543.3076475,31000,-0.09511978179216385
1745320579.5983841,33000,-0.09709347784519196
1745320615.8736744,35000,-0.09519685804843903
1745320652.3856392,37000,-0.09852863103151321
1745320688.662658,39000,-0.09398314356803894
1745320725.0410953,41000,-0.09587617963552475
1745320776.4317572,44000,-0.09651070833206177
1745320812.704744,46000,-0.09426625072956085
1745320849.4466069,48000,-0.09653101861476898
1745320886.0122592,50000,-0.08893608301877975
1745320922.6470447,52000,-0.09234020113945007
1745320959.483871,54000,-0.08944100886583328
1745320995.928218,56000,-0.08737140148878098
1745321032.363259,58000,-0.08677235245704651
1745321068.983788,60000,-0.08493798971176147
1745321105.5786667,62000,-0.08429344743490219
1745321142.2177575,64000,-0.08201231807470322
1745321178.7633276,66000,-0.0851382464170456
1745321215.014285,68000,-0.08101575076580048
1745321251.4439917,70000,-0.08427879214286804
1745321287.5695467,72000,-0.08391070365905762
1745321323.6653826,74000,-0.08209016174077988
1745321359.7978146,76000,-0.07828143984079361
1745321396.0988028,78000,-0.07695736736059189
1745321432.2216668,80000,-0.07577530294656754
1745321468.3719447,82000,-0.0731915757060051
1745321504.5116165,84000,-0.071348637342453
1745321556.0206358,87000,-0.06978517770767212
1745321592.1561987,89000,-0.06864633411169052
1745321628.487556,91000,-0.0682249516248703
1745321664.6918314,93000,-0.07040176540613174
