Wall time,Step,Value
1745982575.2192914,3000,-0.9584512710571289
1745982611.9769049,5000,-0.3615987300872803
1745982648.764146,7000,-0.4839463233947754
1745982685.2159572,9000,-0.5016753673553467
1745982720.806909,11000,-0.5299990177154541
1745982756.9010115,13000,-0.4716179370880127
1745982793.0711565,15000,-0.5371729135513306
1745982828.9459584,17000,-0.4691654443740845
1745982864.7211506,19000,-0.5440775156021118
1745982900.6658225,21000,-0.5303096771240234
1745982936.732884,23000,-0.6694532632827759
1745982972.2215858,25000,-0.5067729949951172
1745983007.4299238,27000,-0.5688787698745728
1745983042.677355,29000,-0.4371492862701416
1745983077.8330972,31000,-0.3757675886154175
1745983113.2855744,33000,-0.47975456714630127
1745983148.4656253,35000,-0.4148242473602295
1745983183.5742009,37000,-0.3883932828903198
1745983219.0132213,39000,-0.30761420726776123
1745983254.516937,41000,-0.2928098440170288
1745983305.6673498,44000,-0.30949628353118896
1745983341.5785604,46000,-0.3284316062927246
1745983376.71298,48000,-0.32943153381347656
1745983411.9672375,50000,-0.3321516513824463
1745983447.1282678,52000,-0.3299826383590698
1745983482.658947,54000,-0.3134268522262573
1745983518.2330086,56000,-0.275091290473938
1745983553.2115862,58000,-0.2788602113723755
1745983588.2413611,60000,-0.2713663578033447
1745983623.386239,62000,-0.3065875768661499
1745983658.5196393,64000,-0.41956019401550293
1745983694.2466168,66000,-0.15532541275024414
1745983729.8118463,68000,-0.37600529193878174
1745983765.3782215,70000,-0.2926899194717407
1745983800.3080146,72000,-0.4718945026397705
1745983835.0255911,74000,-0.2554206848144531
1745983869.9992673,76000,-0.22964715957641602
1745983904.8781378,78000,-0.4495447874069214
1745983940.1140954,80000,-0.5408258438110352
1745983975.0923824,82000,-0.4114699363708496
1745984010.2221022,84000,-0.35081958770751953
1745984059.8648262,87000,-0.44255638122558594
1745984095.174716,89000,-0.3488194942474365
1745984130.5513504,91000,-0.36374640464782715
1745984165.9765854,93000,-0.2965189218521118
1745984201.0796938,95000,-0.5086054801940918
1745984236.2592235,97000,-0.3567781448364258
1745984271.2337167,99000,-0.3679748773574829
1745984306.2142375,101000,-0.7429114580154419
1745984341.4307444,103000,-0.34593403339385986
1745984376.7291307,105000,-0.21515488624572754
1745984412.2735703,107000,-0.22919368743896484
1745984447.6329083,109000,-0.4858894348144531
1745984483.0927787,111000,-1.1244359016418457
1745984518.5111687,113000,0.007815003395080566
1745984554.4273136,115000,-0.8329286575317383
1745984589.732384,117000,-0.41371607780456543
1745984625.1765127,119000,-0.5603311061859131
1745984661.0463269,121000,-0.3497734069824219
1745984696.6252568,123000,-0.38491272926330566
1745984732.2383404,125000,-0.5317660570144653
1745984767.314537,127000,-0.3396996259689331
1745984816.8543074,130000,-1.0976781845092773
1745984852.4895298,132000,-1.325655221939087
1745984887.845173,134000,-1.0968472957611084
1745984922.877582,136000,-0.21549999713897705
1745984958.1482258,138000,-0.5325876474380493
1745984993.5636184,140000,-0.6877211332321167
1745985028.44769,142000,-1.1643171310424805
1745985063.6437747,144000,-0.5747307538986206
1745985098.6854093,146000,-0.37127816677093506
1745985134.1354997,148000,-0.30452966690063477
1745985169.252368,150000,-0.7063183784484863
