number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_s_min,state
21,6521.54834,03:16.3,06:06.2,0 days 00:02:49.889387,0.7,128,0.5,0.3,0.008003128,0.9,0.995,3.02E-05,10,4096,5,COMPLETE
11,6554.443848,31:34.1,34:53.0,0 days 00:03:18.905636,0.7,128,0.5,0.3,0.001326429,0.9,0.995,5.15E-05,10,4096,5,COMPLETE
25,6559.737305,12:51.1,14:54.4,0 days 00:02:03.279984,0.7,128,0.7,0.3,0.003990467,0.9,0.995,1.76E-05,5,4096,5,COMPLETE
41,6564.662598,53:52.7,56:14.1,0 days 00:02:21.420851,0.7,128,0.5,0.3,0.009013755,0.9,0.995,3.31E-05,10,4096,5,COMPLETE
31,6564.728027,27:52.9,30:30.8,0 days 00:02:37.812535,0.7,128,0.5,0.3,0.008597272,0.9,0.995,2.66E-05,10,4096,5,COMPLETE
22,6565.772461,06:06.2,08:20.2,0 days 00:02:14.022992,0.7,128,0.5,0.3,0.004877521,0.9,0.995,1.87E-05,10,4096,5,COMPLETE
17,6581.166504,51:01.8,54:13.1,0 days 00:03:11.345869,0.7,128,0.5,0.3,0.000591215,0.9,0.995,8.80E-05,5,8192,5,COMPLETE
13,6581.860352,38:10.0,41:29.7,0 days 00:03:19.691616,0.7,128,0.5,0.3,0.009876989,0.9,0.995,3.04E-05,10,4096,5,COMPLETE
24,6583.836914,10:37.9,12:51.1,0 days 00:02:13.262853,0.7,128,0.5,0.3,0.004584692,0.9,0.995,3.74E-05,10,4096,5,COMPLETE
15,6593.679688,44:47.2,48:06.8,0 days 00:03:19.599642,0.7,128,0.5,0.3,0.003067982,0.9,0.995,2.61E-05,10,4096,5,COMPLETE
32,6597.967285,30:30.8,33:03.8,0 days 00:02:33.050650,0.7,128,0.5,0.3,0.00589084,0.9,0.995,1.60E-05,10,4096,5,COMPLETE
10,6611.97168,28:10.5,31:34.1,0 days 00:03:23.678149,0.7,128,0.5,0.3,0.001174693,0.9,0.995,4.19E-05,10,4096,5,COMPLETE
