trial,params,mean_reward,std_reward
44,"{'learning_rate': 0.00025950242113997375, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",3642.5085,3.8851182
15,"{'learning_rate': 4.430621457583878e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",3734.636,0.8157402
30,"{'learning_rate': 0.0007924828983539178, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.7, 's_min': 8.0}",3954.024,6.4512424
12,"{'learning_rate': 1.5922827933410938e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4107.947,0.34930748
2,"{'learning_rate': 4.229242874389499e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",4111.44,1.2813915
0,"{'learning_rate': 0.00010235310218990269, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 10.0}",4199.563,0.01824108
33,"{'learning_rate': 1.917910261672489e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.7, 's_min': 5.0}",4209.459,0.2571903
27,"{'learning_rate': 0.00017073526474706922, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",4230.0986,0.1919923
43,"{'learning_rate': 0.00021544346900318845, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",4254.357,97.61326
25,"{'learning_rate': 0.00013530477745798074, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.5, 's_min': 10.0}",4264.876,9.074739
21,"{'learning_rate': 1.917910261672489e-05, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",4296.888,4.583817
18,"{'learning_rate': 7.054802310718646e-05, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",4395.1045,1.5914115
41,"{'learning_rate': 1e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4404.444,0
35,"{'learning_rate': 1e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4464.684,0.17766944
46,"{'learning_rate': 0.00019630406500402724, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.3, 's_min': 8.0}",4478.224,4.13704
34,"{'learning_rate': 0.00032745491628777317, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.5, 's_min': 8.0}",4510.144,378.16278
14,"{'learning_rate': 3.199267137797385e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",4640.4077,392.87177
22,"{'learning_rate': 2.5353644939701114e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.5, 's_min': 8.0}",4762.8545,1.2636719
20,"{'learning_rate': 0.0008302175681319752, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",5169.489,39.62105
39,"{'learning_rate': 0.00014174741629268049, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 10.0}",5226.755,6.7490873
13,"{'learning_rate': 6.135907273413175e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",5487.658,11.285067
6,"{'learning_rate': 1.2618568830660211e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.3, 's_min': 5.0}",5488.0557,1.6572653
26,"{'learning_rate': 2.2051307399030455e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.7, 's_min': 10.0}",5770.6455,2.5519943
47,"{'learning_rate': 0.0002848035868435802, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.3, 's_min': 10.0}",5825.1846,118.56944
16,"{'learning_rate': 4.641588833612782e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",6071.337,0
38,"{'learning_rate': 0.0001788649529057435, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",6082.323,1.4755819
32,"{'learning_rate': 5.590810182512223e-05, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.3, 's_min': 10.0}",6182.4824,2.7698686
45,"{'learning_rate': 2.782559402207126e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.7, 'beta': 0.5, 's_min': 10.0}",6253.723,0.15863505
24,"{'learning_rate': 1.8307382802953696e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.5, 's_min': 8.0}",6305.0093,1.7662454
