Wall time,Step,Value
1746029986.551212,4096,3814.14013671875
1746030097.1099293,8192,3959.072021484375
1746030206.7567878,12288,4286.0498046875
1746030315.400576,16384,5004.95654296875
1746030424.2841823,20480,5987.0556640625
1746030533.5597596,24576,7045.541015625
1746030642.9359663,28672,7929.46728515625
1746030752.1337879,32768,8686.712890625
1746030860.8989289,36864,9306.8330078125
1746030969.7589624,40960,9843.9052734375
1746031081.8968987,45056,10307.7373046875
1746031190.6553953,49152,10675.40234375
1746031299.3702352,53248,10971.4111328125
1746031408.0242631,57344,11190.830078125
1746031516.6337278,61440,11369.5478515625
1746031625.4192865,65536,11500.4169921875
1746031733.8645108,69632,11570.939453125
1746031842.435836,73728,11611.298828125
1746031950.888228,77824,11649.3095703125
1746032058.083387,81920,11693.3935546875
1746032166.945422,86016,11720.5703125
1746032272.6956985,90112,11746.7373046875
1746032378.1484733,94208,11763.00390625
1746032484.1651297,98304,11770.654296875
1746032590.1306267,102400,11761.6953125
1746032695.8327718,106496,11759.9609375
1746032802.6127892,110592,11775.7099609375
1746032910.5189722,114688,11797.767578125
1746033017.8617034,118784,11812.037109375
1746033124.187146,122880,11816.0615234375
1746033230.9465332,126976,11825.388671875
1746033341.1053655,131072,11833.392578125
1746033449.451989,135168,11841.9130859375
1746033555.2340882,139264,11851.4775390625
1746033660.7350483,143360,11852.3134765625
1746033767.5429945,147456,11829.0625
1746033874.2216485,151552,11820.0283203125
1746033980.975546,155648,11834.126953125
1746034088.8397841,159744,11854.5771484375
1746034195.213009,163840,11762.0302734375
1746034301.105348,167936,11735.3564453125
1746034409.4999888,172032,11773.1279296875
1746034515.3611276,176128,11839.130859375
1746034620.5384986,180224,11863.5048828125
1746034725.7891293,184320,11877.49609375
1746034831.545383,188416,11886.7294921875
1746034937.0868683,192512,11450.388671875
1746035042.8847897,196608,11420.279296875
1746035148.4739087,200704,11638.041015625
1746035253.7255743,204800,11764.15625
1746035358.6511023,208896,11777.7861328125
1746035464.3057914,212992,11840.65234375
1746035572.1750994,217088,11884.7783203125
1746035677.5624075,221184,11887.6328125
1746035782.7194073,225280,11884.560546875
1746035887.7918997,229376,11876.0498046875
